Cell,Elevation,Times Changed Hands
1809,199,3
1810,173,248
1811,157,46
1812,156,10
1813,106,89
1814,127,266
1815,78,271
1816,298,2
1817,564,2
1818,263,469
1819,601,526
1820,430,96
1821,78,387
1822,75,456
1823,83,67
1824,141,2
1825,611,2
1826,520,3
1827,395,401
1828,337,24
1829,293,2
1830,244,4
1831,196,25
1832,178,194
1833,194,13
1834,207,5
1835,241,12
1836,1,564
1837,716,3
1838,110,381
1839,1149,265
1840,610,12
1841,77,272
1842,74,432
1843,94,33
1844,138,1
1845,578,5
1846,497,24
1847,402,1
1848,327,4
1849,281,4
1850,228,13
1851,197,356
1852,209,27
1853,261,5
1854,267,24
1855,91,93
1856,612,2
1857,372,2
1858,642,69
1859,831,54
1860,271,52
1861,96,37
1862,97,83
1863,97,2
1864,891,1
1865,513,5
1866,396,523
1867,354,11
1868,327,2
1869,276,5
1870,232,121
1871,221,161
1872,246,14
1873,342,3
1874,404,2
1875,11,20
1876,129,48
1877,706,3
1878,100,41
1879,1568,1
1880,678,18
1881,77,215
1882,73,345
1883,233,4
1884,554,2
1885,870,2
1886,432,242
1887,402,64
1888,365,2
1889,317,3
1890,279,14
1891,245,271
1892,257,17
1893,300,12
1894,320,17
1895,66,23
1896,581,35
1897,965,2
1898,245,3
1899,968,1
1900,729,34
1901,254,38
1902,122,214
1903,145,414
1904,528,5
1905,458,56
1906,436,236
1907,438,3
1908,352,4
1909,316,6
1910,295,135
1911,276,121
1912,298,10
1913,446,3
1914,141,13
1915,1,39
1916,1081,1
1917,6,8
1918,45,13
1919,1342,2
1920,492,46
1921,178,75
1922,200,11
1923,216,409
1924,654,5
1925,488,91
1926,458,9
1927,512,2
1928,418,2
1929,330,6
1930,308,337
1931,315,2
1932,356,14
1933,179,9
1934,20,32
1935,113,36
1936,243,350
1937,1,1
1938,853,277
1939,1134,38
1940,364,25
1941,164,403
1942,272,73
1943,648,3
1944,644,7
1945,459,369
1946,485,1
1947,503,3
1948,381,8
1949,349,9
1950,334,3
1951,414,2
1952,485,2
1953,108,12
1954,1,18
1955,492,6
1956,358,1
1957,1414,1
1958,7,406
1959,424,539
1960,1267,225
1961,742,29
1962,267,386
1963,474,2
1964,316,377
1965,488,358
1966,470,77
1967,487,1
1968,485,3
1969,447,8
1970,318,530
1971,397,3
1972,522,7
1973,163,14
1974,34,12
1975,1,224
1976,158,2
1977,1,3
1978,1585,3
1979,921,52
1980,174,343
1981,370,129
1982,1429,1
1983,489,148
1984,476,1
1985,515,5
1986,590,5
1987,439,28
1988,395,25
1989,568,3
1990,598,2
1991,122,21
1992,1,139
1993,673,1
1994,469,521
1995,501,245
1996,738,1
1997,295,23
1998,1625,1
1999,524,2
2000,476,320
2001,522,3
